submission_id,company_name,revenue,countries,industry,requested_coverages
E028,Copperfield Properties Ltd,3408612,"[""Sweden""]",Energy,"[""Management Liability""]"
E029,Briarwood International Ltd,38091822,"[""Ireland""]",Agriculture,"[""Property""]"
E030,Whitmore Automation Ltd,29292498,"[""Germany""]",Real Estate,"[""Media Liability"", ""Cyber""]"
E031,Beacon Systems Ltd,45207143,"[""Switzerland""]",Manufacturing,"[""Technology E&O"", ""Property"", ""General Liability"", ""Property""]"
E032,Quarry Markets Ltd,2113384,"[""Sweden""]",Technology,"[""General Liability"", ""Management Liability""]"
E033,Millbrook Partners LLP,3048764,"[""Australia"", ""Canada""]",Healthcare,"[""Media Liability"", ""Management Liability""]"
E034,Zenith Diagnostics Ltd,44744077,"[""Belgium""]",Fintech,"[""Management Liability"", ""Professional Indemnity""]"
E035,Riverstone Advisory Ltd,27271962,"[""United Arab Emirates"", ""Sweden"", ""United Kingdom""]",Retail,"[""Management Liability""]"
E036,Ember Security Ltd,2083698,"[""Norway""]",Life Sciences,"[""Media Liability"", ""Technology E&O""]"
E037,Crown Retail Ltd,13725013,"[""Canada"", ""Spain"", ""Germany""]",Professional Services,"[""Technology E&O"", ""Cyber"", ""General Liability""]"
E038,BluePeak Solutions Ltd,11879674,"[""Sweden"", ""Ireland"", ""Italy""]",Hospitality,"[""Management Liability"", ""Technology E&O"", ""Media Liability""]"
E039,Glenhaven Holdings plc,7237085,"[""Belgium"", ""United States""]",Education,"[""Directors & Officers"", ""Management Liability"", ""Technology E&O""]"
E040,Ridgeway Healthcare Ltd,10427226,"[""Norway""]",Energy,"[""Directors & Officers"", ""Media Liability"", ""Kidnap & Ransom""]"
E041,Brightmoor Dynamics Ltd,17952153,"[""United States"", ""France""]",Agriculture,"[""Product Liability"", ""Media Liability""]"
E042,Orchard Digital Ltd,8337689,"[""Netherlands""]",Real Estate,"[""General Liability""]"
E043,Stonegate Components Ltd,16081230,"[""Canada"", ""Belgium""]",Manufacturing,"[""Technology E&O"", ""General Liability""]"
E044,Greenfield Packaging Ltd,15065539,"[""United States""]",Technology,"[""Product Liability"", ""Kidnap & Ransom"", ""Cyber""]"
E045,Summit Software Ltd,16116317,"[""Denmark""]",Healthcare,"[""Product Liability"", ""Directors & Officers"", ""Media Liability""]"
E046,Westhaven Insights Ltd,29838087,"[""Denmark"", ""United States"", ""Singapore""]",Logistics,"[""Management Liability"", ""General Liability""]"
E047,Maplecrest Industries Systems Ltd,33720755,"[""Australia"", ""Spain"", ""Denmark""]",Construction,"[""Management Liability""]"
E048,Silverline Ventures Ltd,22655345,"[""France"", ""Netherlands"", ""Japan""]",Media,"[""Technology E&O""]"
E049,Harbourview Services Europe Ltd,5510325,"[""Norway"", ""Sweden""]",Life Sciences,"[""Kidnap & Ransom"", ""Technology E&O"", ""Cyber""]"
E050,Upland Platforms Ltd,2008613,"[""Belgium"", ""Singapore"", ""United Kingdom""]",Professional Services,"[""Management Liability"", ""Technology E&O""]"
